App,Mode,buildTimeMs,timeToFirstOKRequestMs,startedInMs,stoppedInMs,RSSKb,FDs
app-full-microprofile,JVM_UBER,11946,1564,1297,37,159560,77
app-full-microprofile,JVM_UBER,11656,1451,1174,24,147704,77
